title,studio,domestic_gross,foreign_gross,year,total_gross
Beauty and the Beast (3D),BV,47600000.0,14400000.0,2012,62000000.0
Rock of Ages,WB,38500000.0,20900000.0,2012,59400000.0
That's My Boy,SPC,36900000.0,20800000.0,2012,57700000.0
The Odd Life of Timothy Green,BV,51900000.0,4200000.0,2012,56100000.0
The Three Stooges,Fox,44300000.0,10500000.0,2012,54800000.0
The Five-Year Engagement,Uni.,28800000.0,25100000.0,2012,53900000.0
Lawless,Wein.,37400000.0,16300000.0,2012,53700000.0
Silent Hill: Revelation 3D,ORF,17500000.0,34800000.0,2012,52300000.0
Red Tails,Fox,49900000.0,489000.0,2012,50389000.0
"Monsters, Inc. (3D)",BV,34000000.0,16200000.0,2012,50200000.0
Trouble with the Curve,WB,35800000.0,13200000.0,2012,49000000.0
Little White Lies,MPI,206000.0,48300000.0,2012,48506000.0
End of Watch,ORF,41000000.0,7100000.0,2012,48100000.0
Man on a Ledge,LGF,18600000.0,27600000.0,2012,46200000.0
Red Dawn (2012),FD,44800000.0,0.0,2012,44800000.0
House at the End of The Street,Rela.,31600000.0,12700000.0,2012,44300000.0
The Guilt Trip,Par.,37100000.0,4700000.0,2012,41800000.0
A Werewolf Boy,CJ,343000.0,41300000.0,2012,41643000.0
Safe (2012),LGF,17100000.0,23200000.0,2012,40300000.0
Killing Them Softly,Wein.,15000000.0,22900000.0,2012,37900000.0
Chernobyl Diaries,WB,18100000.0,19000000.0,2012,37100000.0
One For the Money,LGF,26400000.0,10500000.0,2012,36900000.0
Dredd,LGF,13400000.0,22200000.0,2012,35600000.0
Tyler Perry's Good Deeds,LGF,35000000.0,553000.0,2012,35553000.0
Arbitrage,RAtt.,7900000.0,27600000.0,2012,35500000.0
Chimpanzee,BV,29000000.0,5900000.0,2012,34900000.0
Alex Cross,LGF,25900000.0,8700000.0,2012,34600000.0
Salmon Fishing in the Yemen,CBS,9000000.0,25500000.0,2012,34500000.0
Fetih 1453: The Conquest of Constantinople,NeoC,35700.0,34400000.0,2012,34435700.0
Cirque Du Soleil: Worlds Away,Par.,12500000.0,21600000.0,2012,34100000.0
The Perks of Being a Wallflower,LGF,17700000.0,15600000.0,2012,33300000.0
Haywire,Rela.,18900000.0,14400000.0,2012,33300000.0
Katy Perry: Part of Me,Par.,25300000.0,7400000.0,2012,32700000.0
Lockout,FD,14300000.0,17900000.0,2012,32200000.0
Joyful Noise,WB,30900000.0,226000.0,2012,31126000.0
Premium Rush,SPC,20300000.0,10800000.0,2012,31100000.0
The Raven,Rela.,16000000.0,13600000.0,2012,29600000.0
Rowdy Rathore,UTV,777000.0,28600000.0,2012,29377000.0
Dragon (2012),RTWC,11100.0,29100000.0,2012,29111100.0
Bol Bachchan,FIP,1200000.0,27600000.0,2012,28800000.0
The Master,Wein.,16399999.0,11900000.0,2012,28299999.0
Rust and Bone,SPC,2100000.0,23700000.0,2012,25800000.0
Big Miracle,Uni.,20200000.0,4600000.0,2012,24800000.0
Sparkle (2012),TriS,24400000.0,240000.0,2012,24640000.0
To the Arctic (IMAX),WB,14600000.0,9100000.0,2012,23700000.0
Hitchcock,Fox,6000000.0,17600000.0,2012,23600000.0
A Thousand Words,P/DW,18500000.0,3600000.0,2012,22100000.0
Wanderlust,Uni.,17500000.0,4200000.0,2012,21700000.0
Beasts of the Southern Wild,Fox,12800000.0,8300000.0,2012,21100000.0
Polisse,IFC,211000.0,20200000.0,2012,20411000.0
Amour,SPC,6700000.0,13100000.0,2012,19800000.0
The Man with the Iron Fists,Uni.,15600000.0,4099999.0,2012,19699999.0
Solomon Kane,RTWC,0.0,19600000.0,2012,19600000.0
Seven Psychopaths,CBS,15000000.0,4400000.0,2012,19400000.0
Gone,LGF,11700000.0,6400000.0,2012,18100000.0
Norwegian Wood,RF,13000.0,17600000.0,2012,17613000.0
The Cold Light of Day,LGF,3800000.0,13100000.0,2012,16900000.0
My Way (2012),CJ,70200.0,16500000.0,2012,16570200.0
Tomorrow When the War Began,Free,4900.0,16500000.0,2012,16504900.0
We Have a Pope,IFC,548000.0,15600000.0,2012,16148000.0
Headhunters,Magn.,1200000.0,14500000.0,2012,15700000.0
Hit and Run,ORF,13700000.0,704000.0,2012,14404000.0
War of the Buttons (2012),Wein.,47800.0,13800000.0,2012,13847800.0
Red Lights (2012),MNE,52600.0,13500000.0,2012,13552600.0
The Words,CBS,11500000.0,1700000.0,2012,13200000.0
Playing for Keeps,FD,13100000.0,0.0,2012,13100000.0
Silent House,ORF,12800000.0,347000.0,2012,13147000.0
Friends with Kids,RAtt.,7300000.0,5800000.0,2012,13100000.0
The Well-Digger's Daughter,KL,386000.0,12200000.0,2012,12586000.0
Klown,Drft.,68800.0,12400000.0,2012,12468800.0
People Like Us,BV,12400000.0,0.0,2012,12400000.0
Seeking Justice,Anch.,412000.0,11900000.0,2012,12312000.0
Bachelorette,RTWC,448000.0,11500000.0,2012,11948000.0
This Must Be the Place,Wein.,144000.0,11600000.0,2012,11744000.0
Fun Size,Par.,9400000.0,2000000.0,2012,11400000.0
Rec 3: Genesis,Magn.,9600.0,10100000.0,2012,10109600.0
Delicacy,Cohen,499000.0,9200000.0,2012,9699000.0
Seeking a Friend for the End of the World,Focus,7100000.0,2600000.0,2012,9700000.0
The Apparition,WB,4900000.0,4700000.0,2012,9600000.0
For Greater Glory,ArcEnt,5700000.0,4000000.0,2012,9700000.0
Hysteria,SPC,1800000.0,7700000.0,2012,9500000.0
Bernie,MNE,9200000.0,0.0,2012,9200000.0
The Sessions,Fox,6000000.0,3100000.0,2012,9100000.0
Ruby Sparks,Fox,2500000.0,6600000.0,2012,9100000.0
Hyde Park on Hudson,Focus,6400000.0,2500000.0,2012,8900000.0
On the Road,IFC,744000.0,8000000.0,2012,8744000.0
Boy (2012),PalUni,256000.0,8400000.0,2012,8656000.0
Piranha 3DD,W/Dim.,377000.0,8100000.0,2012,8477000.0
Easy Money (2012),Wein.,206000.0,8199999.0,2012,8405999.0
Space Dogs 3D,EpicPics,14400.0,8300000.0,2012,8314400.0
Bel Ami,Magn.,120000.0,8199999.0,2012,8319999.0
Promised Land (2012),Focus,7600000.0,541000.0,2012,8141000.0
Iron Sky,EOne,122000.0,8000000.0,2012,8122000.0
Casa De Mi Padre,LGF,5900000.0,2100000.0,2012,8000000.0
Heroine,UTV,599000.0,7400000.0,2012,7999000.0
A Royal Affair,Magn.,1500000.0,6000000.0,2012,7500000.0
All Together,KL,43200.0,7200000.0,2012,7243200.0
My Worst Nightmare,Strand,22000.0,7100000.0,2012,7122000.0
The Collection,LD,6800000.0,0.0,2012,6800000.0
Monsieur Lazhar (U.S.-only),MBox,2000000.0,4600000.0,2012,6600000.0
Goon,Magn.,4200000.0,2300000.0,2012,6500000.0
Cosmopolis,EOne,764000.0,5300000.0,2012,6064000.0
Chasing Mavericks,Fox,6000000.0,600.0,2012,6000600.0
Declaration of War,IFC,59100.0,5800000.0,2012,5859100.0
Puella Magi Madoka Magica the Movie,Elev.,180000.0,5600000.0,2012,5780000.0
Albert Nobbs,RAtt.,3000000.0,2600000.0,2012,5600000.0
In Darkness,SPC,1000000.0,4500000.0,2012,5500000.0
Won't Back Down,Fox,5300000.0,0.0,2012,5300000.0
Farewell My Queen,Cohen,1600000.0,3700000.0,2012,5300000.0
The Tall Man,Imag.,0.0,5200000.0,2012,5200000.0
Girl in Progress,LGF,2600000.0,2000000.0,2012,4600000.0
"Jeff, Who Lives at Home",ParV,4300000.0,148000.0,2012,4448000.0
Barbara,AF,1000000.0,3100000.0,2012,4100000.0
The Raid: Redemption,SPC,4099999.0,0.0,2012,4099999.0
Keith Lemon: The Film,LGF,0.0,4000000.0,2012,4000000.0
Safety Not Guaranteed,FD,4000000.0,0.0,2012,4000000.0
Nitro Circus the Movie 3D,ArcEnt,3400000.0,526000.0,2012,3926000.0
"Lula, Son of Brazil",NYer,0.0,3800000.0,2012,3800000.0
The Lady,Cohen,355000.0,3400000.0,2012,3755000.0
Branded,RAtt.,354000.0,3400000.0,2012,3754000.0
The Rabbi's Cat,GK,23400.0,3700000.0,2012,3723400.0
Searching for Sugar Man,SPC,3700000.0,0.0,2012,3700000.0
Killer Joe,LD,2000000.0,1700000.0,2012,3700000.0
Hara-Kiri: Death of a Samurai,Trib.,75700.0,3400000.0,2012,3475700.0
Robot & Frank,Gold.,3300000.0,0.0,2012,3300000.0
Raiders of the Lost Ark (IMAX),Par.,3100000.0,0.0,2012,3100000.0
Celeste and Jesse Forever,SPC,3100000.0,0.0,2012,3100000.0
Jab Tak Hai Jaan,Yash,3000000.0,0.0,2012,3000000.0
Intruders,MNE,69100.0,2900000.0,2012,2969100.0
Talaash,Relbig.,2900000.0,0.0,2012,2900000.0
Barfi!,UTV,2800000.0,0.0,2012,2800000.0
A Simple Life,CL,192000.0,2600000.0,2012,2792000.0
Samsara,Osci.,2700000.0,0.0,2012,2700000.0
Simon and the Oaks,TFA,151000.0,2400000.0,2012,2551000.0
Jiro Dreams of Sushi,Magn.,2600000.0,0.0,2012,2600000.0
Dabangg 2,Eros,2500000.0,0.0,2012,2500000.0
Kid With a Bike,IFC,1500000.0,1000000.0,2012,2500000.0
The Queen of Versailles,Magn.,2400000.0,0.0,2012,2400000.0
Ek Tha Tiger,Yash,2300000.0,0.0,2012,2300000.0
Chico & Rita,GK,351000.0,1900000.0,2012,2251000.0
Stolen (2012),MNE,304000.0,1800000.0,2012,2104000.0
Footnote,SPC,2000000.0,0.0,2012,2000000.0
The Imposter,IM,898000.0,1100000.0,2012,1998000.0
Agneepath,Eros,2000000.0,0.0,2012,2000000.0
The Day I Saw Your Heart,FM,3500.0,2000000.0,2012,2003500.0
English Vinglish,Eros,1900000.0,0.0,2012,1900000.0
Housefull 2,Eros,1800000.0,0.0,2012,1800000.0
The Cup (2012),Myr.,0.0,1800000.0,2012,1800000.0
Tales of the Night,GK,11000.0,1700000.0,2012,1711000.0
Beloved (2012),IFC,138000.0,1500000.0,2012,1638000.0
360,Magn.,100000.0,1600000.0,2012,1700000.0
2 Days in New York,Magn.,633000.0,1000000.0,2012,1633000.0
Your Sister's Sister,IFC,1600000.0,0.0,2012,1600000.0
Hermano,MBox,29900.0,1600000.0,2012,1629900.0
Lay the Favorite,RTWC,21000.0,1600000.0,2012,1621000.0
Soldiers of Fortune,RAtt.,38900.0,1500000.0,2012,1538900.0
A Late Quartet,EOne,1600000.0,0.0,2012,1600000.0
I Wish,Magn.,146000.0,1400000.0,2012,1546000.0
The Salt of Life,Zeit.,317000.0,1200000.0,2012,1517000.0
Chicken with Plums,SPC,254000.0,1200000.0,2012,1454000.0
Marley,Magn.,1400000.0,0.0,2012,1400000.0
The Paperboy,MNE,693000.0,661000.0,2012,1354000.0
Chasing Ice,SD,1300000.0,0.0,2012,1300000.0
Unforgivable,Strand,154000.0,1200000.0,2012,1354000.0
A Little Bit of Heaven,MNE,15400.0,1300000.0,2012,1315400.0
The Other Son,Cohen,1300000.0,0.0,2012,1300000.0
Meerkats,NGE,778000.0,482000.0,2012,1260000.0
"For a Good Time, Call...",Focus,1300000.0,0.0,2012,1300000.0
Take This Waltz,Magn.,1200000.0,0.0,2012,1200000.0
Cocktail (2012),Eros,1200000.0,0.0,2012,1200000.0
Once Upon a Time in Anatolia,CGld,152000.0,1000000.0,2012,1152000.0
Ek Main Aur Ekk Tu,UTV,1200000.0,0.0,2012,1200000.0
The Deep Blue Sea,MBox,1100000.0,0.0,2012,1100000.0
Coriolanus,Wein.,757000.0,315000.0,2012,1072000.0
Diana Vreeland: The Eye Has to Travel,Gold.,1000000.0,0.0,2012,1000000.0
First Position,IFC,1000000.0,0.0,2012,1000000.0
Damsels in Distress,SPC,1000000.0,0.0,2012,1000000.0
Rampart,MNE,973000.0,0.0,2012,973000.0
Elles,KL,158000.0,754000.0,2012,912000.0
W.E.,Wein.,583000.0,285000.0,2012,868000.0
Breathing,KL,4600.0,803000.0,2012,807600.0
Darling Companion,SPC,794000.0,0.0,2012,794000.0
Teri Meri Kahaani,Eros,781000.0,0.0,2012,781000.0
Son of Sardaar,Eros,772000.0,0.0,2012,772000.0
Agent Vinod,Eros,698000.0,0.0,2012,698000.0
Student of the Year,Eros,670000.0,0.0,2012,670000.0
The Polar Express (2012 re-issue),WB,669000.0,0.0,2012,669000.0
Holy Motors,IM,641000.0,0.0,2012,641000.0
Free Men,FM,53800.0,564000.0,2012,617800.0
"Peace, Love and Misunderstanding",IFC,591000.0,0.0,2012,591000.0
Undefeated (2012),Wein.,562000.0,0.0,2012,562000.0
Sister (2012),AF,155000.0,400000.0,2012,555000.0
Vicky Donor,Eros,549000.0,0.0,2012,549000.0
Being Flynn,Focus,540000.0,0.0,2012,540000.0
Ai Weiwei: Never Sorry,IFC,534000.0,0.0,2012,534000.0
Where Do We Go Now?,SPC,532000.0,0.0,2012,532000.0
Bully (2012),Wein.,279000.0,182000.0,2012,461000.0
Ferrari Ki Sawaari,Eros,434000.0,0.0,2012,434000.0
Dark Tide,WHE,0.0,432000.0,2012,432000.0
Apartment 143,Magn.,400.0,426000.0,2012,426400.0
Sound of My Voice,Fox,408000.0,0.0,2012,408000.0
Khiladi 786,Eros,379000.0,0.0,2012,379000.0
Smashed,SPC,377000.0,0.0,2012,377000.0
Universal Soldier: Day of Reckoning,Magn.,5500.0,364000.0,2012,369500.0
The Oranges,ATO,366000.0,0.0,2012,366000.0
Liberal Arts,IFC,327000.0,0.0,2012,327000.0
Compliance,Magn.,319000.0,0.0,2012,319000.0
Back to 1942,CL,313000.0,0.0,2012,313000.0
The Flowers of War,WHE,311000.0,0.0,2012,311000.0
Something From Nothing: The Art of Rap,IM,288000.0,0.0,2012,288000.0
Love in the Buff,CL,256000.0,0.0,2012,256000.0
Lola Versus,Fox,253000.0,0.0,2012,253000.0
Keep the Lights On,MBox,246000.0,0.0,2012,246000.0
Gerhard Richter Painting,KL,243000.0,0.0,2012,243000.0
Trishna,IFC,240000.0,0.0,2012,240000.0
Elena,Zeit.,233000.0,0.0,2012,233000.0
Tezz,Eros,230000.0,0.0,2012,230000.0
The Viral Factor,CL,220000.0,0.0,2012,220000.0
Neil Young Journeys,SPC,215000.0,0.0,2012,215000.0
Tai Chi Zero,Vari.,212000.0,0.0,2012,212000.0
The House I Live In,Abr.,211000.0,0.0,2012,211000.0
10 Years,Anch.,203000.0,0.0,2012,203000.0
17 Girls,Strand,15100.0,186000.0,2012,201100.0
Tim & Eric's Billion Dollar Movie,Magn.,201000.0,0.0,2012,201000.0
Any Day Now,MBox,201000.0,0.0,2012,201000.0
Tere Naal Love Ho Gaya,UTV,178000.0,0.0,2012,178000.0
The Hunter (2012),Magn.,177000.0,0.0,2012,177000.0
Butter,RTWC,105000.0,70700.0,2012,175700.0
Kill List,IFC,29100.0,143000.0,2012,172100.0
Flying Swords of Dragon Gate,IM,170000.0,0.0,2012,170000.0
Joker,UTV,169000.0,0.0,2012,169000.0
Dark Horse,BM&DH,166000.0,0.0,2012,166000.0
Shirin Farhad Ki Toh Nikal Padi,Eros,156000.0,0.0,2012,156000.0
Bullhead,Drft.,152000.0,0.0,2012,152000.0
Chakravyuh,Eros,152000.0,0.0,2012,152000.0
Luv Shuv Tey Chicken Khurana,UTV,144000.0,0.0,2012,144000.0
High School,Anch.,139000.0,0.0,2012,139000.0
Warriors of the Rainbow: Seediq Bale,WGUSA,136000.0,0.0,2012,136000.0
The Loneliest Planet,IFC,130000.0,0.0,2012,130000.0
Forgiveness of Blood,IFC,127000.0,0.0,2012,127000.0
Toys in the Attic,Hann.,64900.0,61600.0,2012,126500.0
"Turn Me On, Dammit!",NYer,126000.0,0.0,2012,126000.0
God Bless America,Magn.,123000.0,0.0,2012,123000.0
Bullet Vanishes,CL,118000.0,0.0,2012,118000.0
The Woman in the Fifth,ATO,114000.0,0.0,2012,114000.0
5 Broken Cameras,KL,110000.0,0.0,2012,110000.0
Hello I Must Be Going,Osci.,107000.0,0.0,2012,107000.0
The Magic of Belle Isle,Magn.,102000.0,0.0,2012,102000.0
"Oslo, August 31st",Strand,101000.0,0.0,2012,101000.0
Wuthering Heights (2012),Osci.,101000.0,0.0,2012,101000.0
Mugamoodi,UTV,101000.0,0.0,2012,101000.0
V/H/S,Magn.,100000.0,0.0,2012,100000.0
Goodbye First Love,IFC,95000.0,0.0,2012,95000.0
Marina Abramovic: The Artist is Present,MBox,86600.0,0.0,2012,86600.0
The Eye of the Storm,SEG,83600.0,0.0,2012,83600.0
Wagner & Me,FRun,37700.0,41000.0,2012,78700.0
The Innkeepers,Magn.,78400.0,0.0,2012,78400.0
This is Not a Film,PalT,77000.0,0.0,2012,77000.0
The Island President,Gold.,76400.0,0.0,2012,76400.0
Detachment,Trib.,72700.0,0.0,2012,72700.0
The Green Wave,RF,0.0,70100.0,2012,70100.0
Attenberg,Strand,24000.0,45900.0,2012,69900.0
Deadfall (2012),Magn.,66400.0,0.0,2012,66400.0
Girlfriend Boyfriend - GF BF,CL,64400.0,0.0,2012,64400.0
Vulgaria,CL,59100.0,0.0,2012,59100.0
The Turin Horse,CGld,56400.0,0.0,2012,56400.0
Jodi Breakers,Yash,52600.0,0.0,2012,52600.0
Painted Skin: The Resurrection,WGUSA,50400.0,0.0,2012,50400.0
"All's Well, End's Well (2012)",CL,47900.0,0.0,2012,47900.0
North Sea Texas,Strand,28300.0,16700.0,2012,45000.0
Double Trouble,CL,44800.0,0.0,2012,44800.0
The Fairy,KL,38400.0,0.0,2012,38400.0
Hit So Hard,Vari.,34000.0,0.0,2012,34000.0
Kalakalappu@Masala Cafe,UTV,30900.0,0.0,2012,30900.0
The Bay,RAtt.,30700.0,0.0,2012,30700.0
You've Been Trumped,ICir,29300.0,0.0,2012,29300.0
Here (2012),Strand,26700.0,0.0,2012,26700.0
In Another Country,KL,25100.0,0.0,2012,25100.0
The First Time,Gold.,22800.0,0.0,2012,22800.0
Bonsai,Strand,21300.0,0.0,2012,21300.0
The Day,Anch.,21000.0,0.0,2012,21000.0
28 Hotel Rooms,Osci.,18900.0,0.0,2012,18900.0
Lovely Molly,Imag.,18500.0,0.0,2012,18500.0
Juan of the Dead,Outs,18000.0,0.0,2012,18000.0
4:44: Last Day on Earth,IFC,17800.0,0.0,2012,17800.0
Little Birds,MNE,17700.0,0.0,2012,17700.0
Return (2012),Da.,16100.0,0.0,2012,16100.0
Alps,KL,16100.0,0.0,2012,16100.0
Patience (After Sebald),CGld,15900.0,0.0,2012,15900.0
Take Me Home,Mont.,15800.0,0.0,2012,15800.0
Reuniting the Rubins,Mont.,13600.0,0.0,2012,13600.0
Cirkus Columbia,Strand,3500.0,9500.0,2012,13000.0
Grassroots,Gold.,12400.0,0.0,2012,12400.0
Husbands in Goa,UTV,10100.0,0.0,2012,10100.0
Starry Starry Night,CL,10000.0,0.0,2012,10000.0
Corpo Celeste,FM,8900.0,0.0,2012,8900.0
Dreams of a Life,Strand,8400.0,0.0,2012,8400.0
The Babymakers,MNE,7900.0,0.0,2012,7900.0
Las Acacias,OutF,6000.0,0.0,2012,6000.0
The Good Doctor,Magn.,5200.0,0.0,2012,5200.0
Liar's Autobiography,BSM,5100.0,0.0,2012,5100.0
Sleepless Night,Trib.,3400.0,0.0,2012,3400.0
ATM,IFC,3000.0,0.0,2012,3000.0
About Cherry,IFC,3000.0,0.0,2012,3000.0
Perfect Sense,IFC,3000.0,0.0,2012,3000.0
Cheerful Weather for the Wedding,IFC,2700.0,0.0,2012,2700.0
The Decoy Bride,IFC,800.0,0.0,2012,800.0
Death of a Superhero,Trib.,600.0,0.0,2012,600.0
Frozen,BV,400700000.0,875700000.0,2013,1276400000.0
Iron Man 3,BV,409000000.0,805800000.0,2013,1214800000.0
Despicable Me 2,Uni.,368100000.0,602700000.0,2013,970800000.0
The Hobbit: The Desolation of Smaug,WB,258399999.0,700000000.0,2013,958399999.0
The Hunger Games: Catching Fire,LGF,424700000.0,440300000.0,2013,865000000.0
Fast & Furious 6,Uni.,238700000.0,550000000.0,2013,788700000.0
Monsters University,BV,268500000.0,475700000.0,2013,744200000.0
Gravity,WB,274100000.0,449100000.0,2013,723200000.0
Man of Steel,WB,291000000.0,377000000.0,2013,668000000.0
Thor: The Dark World,BV,206400000.0,438200000.0,2013,644600000.0
The Croods,Fox,187200000.0,400000000.0,2013,587200000.0
World War Z,Par.,202400000.0,337600000.0,2013,540000000.0
Oz The Great and Powerful,BV,234900000.0,258399999.0,2013,493299999.0
Star Trek Into Darkness,Par.,228800000.0,238600000.0,2013,467400000.0
The Wolverine,Fox,132600000.0,282300000.0,2013,414900000.0
Pacific Rim,WB,101800000.0,309200000.0,2013,411000000.0
The Wolf of Wall Street,Par.,116900000.0,275100000.0,2013,392000000.0
G.I. Joe: Retaliation,Par.,122500000.0,253200000.0,2013,375700000.0
The Hangover Part III,WB,112200000.0,249800000.0,2013,362000000.0
The Great Gatsby (2013),WB,144800000.0,208800000.0,2013,353600000.0
Now You See Me,LGF,117700000.0,234000000.0,2013,351700000.0
The Smurfs 2,SPC,71000000.0,276500000.0,2013,347500000.0
The Conjuring,WB,137400000.0,182100000.0,2013,319500000.0
A Good Day to Die Hard,Fox,67300000.0,237300000.0,2013,304600000.0
Oblivion,Uni.,89100000.0,197100000.0,2013,286200000.0
Elysium,TriS,93100000.0,193100000.0,2013,286200000.0
Turbo,Fox,83000000.0,199500000.0,2013,282500000.0
Cloudy with a Chance of Meatballs 2,SPC,119800000.0,154500000.0,2013,274300000.0
We're the Millers,WB,150400000.0,119600000.0,2013,270000000.0
Epic,Fox,107500000.0,160900000.0,2013,268400000.0
The Lone Ranger,BV,89300000.0,171200000.0,2013,260500000.0
American Hustle,SPC,150100000.0,101100000.0,2013,251200000.0
Grown Ups 2,SPC,133699999.0,113300000.0,2013,246999999.0
After Earth,SPC,60500000.0,183300000.0,2013,243800000.0
Planes,BV,90300000.0,149000000.0,2013,239300000.0
The Heat,Fox,159600000.0,70300000.0,2013,229900000.0
Hansel and Gretel: Witch Hunters,Par.,55700000.0,170600000.0,2013,226300000.0
Captain Phillips,SPC,107100000.0,111700000.0,2013,218800000.0
White House Down,SPC,73100000.0,132300000.0,2013,205400000.0
Percy Jackson: Sea of Monsters,Fox,68600000.0,131300000.0,2013,199900000.0
Lost in Thailand,WAMCR,57400.0,197700000.0,2013,197757400.0
Jack the Giant Slayer,WB,65200000.0,132500000.0,2013,197700000.0
The Secret Life of Walter Mitty,Fox,58200000.0,129900000.0,2013,188100000.0
12 Years a Slave,Fox,56700000.0,131100000.0,2013,187800000.0
Lee Daniels' The Butler,Wein.,116600000.0,60000000.0,2013,176600000.0
Identity Thief,Uni.,134500000.0,39500000.0,2013,174000000.0
Anchorman 2: The Legend Continues,Par.,125200000.0,46300000.0,2013,171500000.0
Olympus Has Fallen,FD,98900000.0,71300000.0,2013,170200000.0
Insidious Chapter 2,FD,83600000.0,78300000.0,2013,161900000.0
Lone Survivor,Uni.,125100000.0,29700000.0,2013,154800000.0
Jackass Presents: Bad Grandpa,Par.,102000000.0,49800000.0,2013,151800000.0
47 Ronin,Uni.,38400000.0,113400000.0,2013,151800000.0
Red 2,LGF,53300000.0,94800000.0,2013,148100000.0
Mama,Uni.,71600000.0,74800000.0,2013,146400000.0
Escape Plan,LGF,25100000.0,112200000.0,2013,137300000.0
Last Vegas,CBS,63900000.0,70500000.0,2013,134400000.0
2 Guns,Uni.,75600000.0,56300000.0,2013,131900000.0
Walking with Dinosaurs,Fox,36100000.0,90500000.0,2013,126600000.0
This is the End,SPC,101500000.0,24600000.0,2013,126100000.0
Ender's Game,LGF,61700000.0,63800000.0,2013,125500000.0
Prisoners,WB,61000000.0,61100000.0,2013,122100000.0
Saving Mr. Banks,BV,83300000.0,34600000.0,2013,117900000.0
Warm Bodies,LGF,66400000.0,50600000.0,2013,117000000.0
Jurassic Park 3D,Uni.,45400000.0,71100000.0,2013,116500000.0
Personal Tailor,CL,376000.0,115800000.0,2013,116176000.0
Free Birds,Rela.,55800000.0,54600000.0,2013,110400000.0
Gangster Squad,WB,46000000.0,59200000.0,2013,105200000.0
Philomena,Wein.,37700000.0,62400000.0,2013,100100000.0
Instructions Not Included,LGF,44500000.0,54600000.0,2013,99100000.0
Riddick,Uni.,42000000.0,56300000.0,2013,98300000.0
Safe Haven,Rela.,71300000.0,26200000.0,2013,97500000.0
Evil Dead (2013),TriS,54200000.0,43300000.0,2013,97500000.0
Blue Jasmine,SPC,33400000.0,64099999.0,2013,97499999.0
The Mortal Instruments: City of Bones,SGem,31200000.0,64200000.0,2013,95400000.0
The Internship,Fox,44700000.0,48800000.0,2013,93500000.0
Rush (2013),Uni.,26900000.0,63300000.0,2013,90200000.0
The Purge,Uni.,64500000.0,24900000.0,2013,89400000.0
Dhoom 3,Yash,8000000.0,80000000.0,2013,88000000.0
About Time,Uni.,15300000.0,71800000.0,2013,87100000.0
Pain and Gain,Par.,49900000.0,36300000.0,2013,86200000.0
Carrie (2013),SGem,35300000.0,49500000.0,2013,84800000.0
The Family (2013),Rela.,36900000.0,41500000.0,2013,78400000.0
Scary Movie 5,W/Dim.,32000000.0,46400000.0,2013,78400000.0
R.I.P.D.,Uni.,33600000.0,44700000.0,2013,78300000.0
Tiny Times,CL,23500.0,77700000.0,2013,77723500.0
The Book Thief,Fox,21500000.0,55100000.0,2013,76600000.0
Escape From Planet Earth,Wein.,57000000.0,17600000.0,2013,74600000.0
August: Osage County,Wein.,37700000.0,36500000.0,2013,74200000.0
The Best Man Holiday,Uni.,70500000.0,2300000.0,2013,72800000.0
Young Detective Dee: Rise of the Sea Dragon,WAMCR,87800.0,72200000.0,2013,72287800.0
The Counselor,Fox,17000000.0,54000000.0,2013,71000000.0
The Call,TriS,51900000.0,16700000.0,2013,68600000.0
One Direction: This is Us,TriS,28900000.0,39700000.0,2013,68600000.0
The Grandmaster,Wein.,6600000.0,57500000.0,2013,64100000.0
Side Effects (2013),ORF,32200000.0,31200000.0,2013,63400000.0
The Host (2013),ORF,26600000.0,36700000.0,2013,63300000.0
Runner Runner,Fox,19300000.0,43400000.0,2013,62700000.0
From Up on Poppy Hill,GK,1000000.0,60000000.0,2013,61000000.0
Kick-Ass 2,Uni.,28800000.0,32000000.0,2013,60800000.0
A Haunted House,ORF,40000000.0,20100000.0,2013,60100000.0
Beautiful Creatures (2013),WB,19500000.0,40600000.0,2013,60100000.0
Quartet,Wein.,18400000.0,41100000.0,2013,59500000.0
Dallas Buyers Club,Focus,27300000.0,27900000.0,2013,55200000.0
The Face Reader,PM&E,516000.0,54100000.0,2013,54616000.0
Tyler Perry's A Madea Christmas,LGF,52500000.0,853000.0,2013,53353000.0
Tyler Perry's Temptation: Confessions of a Marriage Counselor,LGF,52000000.0,1200000.0,2013,53200000.0
Delivery Man,BV,30700000.0,19300000.0,2013,50000000.0
The Berlin File,CJ,665000.0,48300000.0,2013,48965000.0
The Last Stand,LGF,12100000.0,36300000.0,2013,48400000.0
21 and Over,Rela.,25700000.0,22400000.0,2013,48100000.0
Her (2013),WB,25600000.0,21800000.0,2013,47400000.0
Tiny Times 2,CL,43800.0,47200000.0,2013,47243800.0
Texas Chainsaw 3D,LGF,34300000.0,12900000.0,2013,47200000.0
The Big Wedding,LGF,21800000.0,24700000.0,2013,46500000.0
Parker,FD,17600000.0,28600000.0,2013,46200000.0
The World's End,Focus,26000000.0,20100000.0,2013,46100000.0
Grudge Match,WB,29800000.0,15100000.0,2013,44900000.0
Homefront,ORF,20200000.0,22900000.0,2013,43100000.0
Snitch,LGF,42900000.0,0.0,2013,42900000.0
Jobs,ORF,16100000.0,19800000.0,2013,35900000.0
The Place Beyond the Pines,Focus,21400000.0,14100000.0,2013,35500000.0
Inside Llewyn Davis,CBS,13200000.0,19700000.0,2013,32900000.0
Mud,RAtt.,21600000.0,11000000.0,2013,32600000.0
